key,model1,model2,model3,gt,out,psnr,ssim
201101_001,/content/25Miniproject1-Ensemble/MWFormer/result_L/D-201101_O8102D01_001_0054_mwformer.png,/content/25Miniproject1-Ensemble/AirNet/test/Output/D-201101_O8102D01_001_0054_AirNet.jpg,/content/25Miniproject1-Ensemble/WeatherDiffusion/Inference/D-201101_O8102D01_001_0054.png,/content/25Miniproject1-Ensemble/MWFormer/GT/D-201101_O8102DGT_001_0001.jpg,/content/drive/MyDrive/BOAZminiproject1/fulldata/Ensemble/vote_result/D-201101_O8102D01_001_0054_mwformer_vote.png,25.65501277431464,0.9228292162594908
210921_005,/content/25Miniproject1-Ensemble/MWFormer/result_L/D-210921_O9125R03_005_0058_mwformer.png,/content/25Miniproject1-Ensemble/AirNet/test/Output/D-210921_O9125R03_005_0058_AirNet.png,/content/25Miniproject1-Ensemble/WeatherDiffusion/Inference/D-210921_O9125R03_005_0058.png,/content/25Miniproject1-Ensemble/MWFormer/GT/D-210921_O9125RGT_005_0001.jpg,/content/drive/MyDrive/BOAZminiproject1/fulldata/Ensemble/vote_result/D-210921_O9125R03_005_0058_mwformer_vote.png,22.529052386776847,0.9068376267931547
211009_022,/content/25Miniproject1-Ensemble/MWFormer/result_L/D-211009_O8102R01_022_0009_mwformer.png,/content/25Miniproject1-Ensemble/AirNet/test/Output/D-211009_O8102R01_022_0009_AirNet.png,/content/25Miniproject1-Ensemble/WeatherDiffusion/Inference/D-211009_O8102R01_022_0009.png,/content/25Miniproject1-Ensemble/MWFormer/GT/D-211009_O8102RGT_022_0001.jpg,/content/drive/MyDrive/BOAZminiproject1/fulldata/Ensemble/vote_result/D-211009_O8102R01_022_0009_mwformer_vote.png,21.356994217505388,0.8161023247768089
211015_031,/content/25Miniproject1-Ensemble/MWFormer/result_L/D-211015_O9120F01_031_0033_mwformer.png,/content/25Miniproject1-Ensemble/AirNet/test/Output/D-211015_O9120F01_031_0033_AirNet.png,/content/25Miniproject1-Ensemble/WeatherDiffusion/Inference/D-211015_O9120F01_031_0033.png,/content/25Miniproject1-Ensemble/MWFormer/GT/D-211015_O9120FGT_031_0001.jpg,/content/drive/MyDrive/BOAZminiproject1/fulldata/Ensemble/vote_result/D-211015_O9120F01_031_0033_mwformer_vote.png,20.53562534167414,0.8530910415239027
211028_041,/content/25Miniproject1-Ensemble/MWFormer/result_L/D-211028_O9110F02_041_0007_mwformer.png,/content/25Miniproject1-Ensemble/AirNet/test/Output/D-211028_O9110F02_041_0007_AirNet.png,/content/25Miniproject1-Ensemble/WeatherDiffusion/Inference/D-211028_O9110F02_041_0007.png,/content/25Miniproject1-Ensemble/MWFormer/GT/D-211028_O9110FGT_041_0001.jpg,/content/drive/MyDrive/BOAZminiproject1/fulldata/Ensemble/vote_result/D-211028_O9110F02_041_0007_mwformer_vote.png,16.114238967425713,0.725824016127528
211110_001,/content/25Miniproject1-Ensemble/MWFormer/result_L/D-211110_O8105R02_001_0030_mwformer.png,/content/25Miniproject1-Ensemble/AirNet/test/Output/D-211110_O8105R02_001_0030_AirNet.png,/content/25Miniproject1-Ensemble/WeatherDiffusion/Inference/D-211110_O8105R02_001_0030.png,/content/25Miniproject1-Ensemble/MWFormer/GT/D-211110_O8105RGT_001_0001.jpg,/content/drive/MyDrive/BOAZminiproject1/fulldata/Ensemble/vote_result/D-211110_O8105R02_001_0030_mwformer_vote.png,24.972400825332414,0.7901684875859053
211203_037,/content/25Miniproject1-Ensemble/MWFormer/result_L/D-211203_O9127F03_037_0041_mwformer.png,/content/25Miniproject1-Ensemble/AirNet/test/Output/D-211203_O9127F03_037_0041_AirNet.png,/content/25Miniproject1-Ensemble/WeatherDiffusion/Inference/D-211203_O9127F03_037_0041.png,/content/25Miniproject1-Ensemble/MWFormer/GT/D-211203_O9127FGT_037_0001.jpg,/content/drive/MyDrive/BOAZminiproject1/fulldata/Ensemble/vote_result/D-211203_O9127F03_037_0041_mwformer_vote.png,16.51473433030749,0.7014213368050317
211211_034,/content/25Miniproject1-Ensemble/MWFormer/result_L/D-211211_O9124D01_034_0055_mwformer.png,/content/25Miniproject1-Ensemble/AirNet/test/Output/D-211211_O9124D01_034_0055_AirNet.jpg,/content/25Miniproject1-Ensemble/WeatherDiffusion/Inference/D-211211_O9124D01_034_0055.png,/content/25Miniproject1-Ensemble/MWFormer/GT/D-211211_O9124DGT_034_0001.jpg,/content/drive/MyDrive/BOAZminiproject1/fulldata/Ensemble/vote_result/D-211211_O9124D01_034_0055_mwformer_vote.png,17.458674164572386,0.6683825213551056
211211_036,/content/25Miniproject1-Ensemble/MWFormer/result_L/D-211211_O1019D03_036_0005_mwformer.png,/content/25Miniproject1-Ensemble/AirNet/test/Output/D-211211_O1019D03_036_0005_AirNet.jpg,/content/25Miniproject1-Ensemble/WeatherDiffusion/Inference/D-211211_O1019D03_036_0005.png,/content/25Miniproject1-Ensemble/MWFormer/GT/D-211211_O1019DGT_036_0001.jpg,/content/drive/MyDrive/BOAZminiproject1/fulldata/Ensemble/vote_result/D-211211_O1019D03_036_0005_mwformer_vote.png,14.76718309363163,0.5202286858459187
